citing_title,citing_year,citing_venue,citing_link,cites_stacy_paper
Frozen and Canned Produce Use and WIC Cash-Value Benefit Redemption in a Tribal Organization,2026,International Journal of Environmental Research and Public Health,https://doi.org/10.3390/ijerph23060754,https://openalex.org/W3213634859
"Predictors of Redemption among Low-Income, Pregnant Women, Infants, and Children Participants: A Secondary Analysis of a Multicomponent eHealth Behavioral Intervention Study",2026,Journal of Nutrition,https://doi.org/10.1016/j.tjnut.2026.101421,https://openalex.org/W3213634859
Forecasting the path of SNAP spending using state-level panel data models,2026,Empirical Economics,https://doi.org/10.1007/s00181-026-02947-w,https://openalex.org/W2967747679
Food deprivation and cognitive function among adults 55+ in the United States and India,2026,Journal of Aging & Social Policy,https://doi.org/10.1080/08959420.2026.2615199,https://openalex.org/W2967747679
"Progress, challenges, and future directions on statistical capacity building in Somalia",2026,Discover Sustainability,https://doi.org/10.1007/s43621-026-03978-0,https://openalex.org/W4327973207
Brazil Data Commons: Unified Platform for Analyzing Public Data from Different Repositories,2026,,https://doi.org/10.1145/3795513.3807435,https://openalex.org/W4327973207
India's rural energy transition: Evidence from village-level survey aggregates of clean energy adoption across states,2026,Applied Energy,https://doi.org/10.1016/j.apenergy.2026.127744,https://openalex.org/W4327973207
G20 Ülkelerinin Açık Veri Ekosistem Performansı: MARCOS ve PSI Tabanlı Değerlendirme Modeli,2026,Dicle Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,https://doi.org/10.15182/diclesosbed.1599808,https://openalex.org/W4327973207
Global health care: Analysis and indicators,2026,AIP conference proceedings,https://doi.org/10.1063/5.0321958,https://openalex.org/W4327973207
Using (unreliable) district-level value-added scores to inform school funding (and potentially other) decisions,2026,Educational Assessment Evaluation and Accountability,https://doi.org/10.1007/s11092-026-09481-4,https://openalex.org/W2984160421
Deficit‐Oriented Teacher Beliefs and Student Outcomes in Low‐ and Middle‐Income Countries,2025,Sociology Compass,https://doi.org/10.1111/soc4.70129,https://openalex.org/W2766051028
Urbanization and educational attainment: Evidence from Africa,2025,Journal of Development Economics,https://doi.org/10.1016/j.jdeveco.2025.103654,https://openalex.org/W2766051028
Preventing School Dropout at Scale: Experimental Evidence from Guatemala,2025,Journal of Labor Economics,https://doi.org/10.1086/739022,https://openalex.org/W2766051028
Fertility Decline and Educational Progress Among African Women and Children,2025,Demography,https://doi.org/10.1215/00703370-12250354,https://openalex.org/W2766051028
How economic choices affect livelihoods in Madagascar's park-adjacent communities and what it means for conservation and development,2025,Environmental Development,https://doi.org/10.1016/j.envdev.2025.101357,https://openalex.org/W2766051028
"Using Low-Tech, Behaviorally Informed Solutions to Improve Teacher Adoption of Foundational Pedagogical Practices: Evidence from a Field Experiment in India",2025,,https://doi.org/10.12688/verixiv.1853.1,https://openalex.org/W2766051028
Grade repetition among learners with and without disabilities in two provinces of South Africa,2025,African Journal of Disability,https://doi.org/10.4102/ajod.v14i0.1676,https://openalex.org/W2766051028
Understanding education policy preferences: Survey experiments with policymakers in 35 developing countries,2025,World Development,https://doi.org/10.1016/j.worlddev.2025.107140,https://openalex.org/W2766051028
How Is Fertility Behavior in Africa Different?,2025,Demography,https://doi.org/10.1215/00703370-12191344,https://openalex.org/W2766051028
"School Heads’ Coaching and Mentoring Competence on Teachers’ Classroom Management, Instructional Delivery and Research and Innovation Engagement",2025,Psychology and Education A Multidisciplinary Journal,https://doi.org/10.70838/pemj.430502,https://openalex.org/W2766051028
The effect of teacher training and community literacy programming on teacher and student outcomes,2025,Journal of Development Economics,https://doi.org/10.1016/j.jdeveco.2025.103578,https://openalex.org/W2766051028
Labor Markets in Developing Countries,2025,Annual Review of Economics,https://doi.org/10.1146/annurev-economics-091124-051650,https://openalex.org/W2766051028
The effect of multiple representations-based and problem-based instruction in linear algebra on pre-service teachers' dimensions of understanding and self-efficacy perceptions,2025,Journal of Mathematics Teacher Education,https://doi.org/10.1007/s10857-025-09696-0,https://openalex.org/W2766051028
Community monitoring and social accountability in development projects: Experimental evidence from Uganda,2025,Journal of Development Economics,https://doi.org/10.1016/j.jdeveco.2025.103537,https://openalex.org/W2766051028
A call to action: the second Lancet Commission on adolescent health and wellbeing,2025,The Lancet,https://doi.org/10.1016/s0140-6736(25)00503-3,https://openalex.org/W2766051028
Importance of Professional Training for Future Teachers in Tunisia,2025,IGI Global eBooks,https://doi.org/10.4018/979-8-3693-9969-9.ch009,https://openalex.org/W2766051028
Prevalence and Drivers of Stalls and Reversals in Age at First Marriage in Sub-Saharan Africa,2025,Population Research and Policy Review,https://doi.org/10.1007/s11113-024-09932-0,https://openalex.org/W2766051028
Exploring teaching practices for developing paragraph writing skills in English as a foreign language through a competence-based approach in Tanzania’s secondary schools,2025,Discover Education,https://doi.org/10.1007/s44217-025-00478-7,https://openalex.org/W2766051028
LEGAL GROUNDS FOR EDUCATION THROUGH UNESCO IN HARD-TO-REACH PLACES IN INDIVIDUAL STATES,2025,Європейський правничий часопис.,https://doi.org/10.36919/3041-1149(print).6-7.2025.65-71,https://openalex.org/W2766051028
Policy for Closing Education Gaps across Gender and Culture: Tuition-Free Education or School Construction?,2025,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.5787506,https://openalex.org/W2766051028
Keeping Teachers in the Classroom: How School Management Tackles Absenteeism in South Africa,2025,E-Journal of Humanities Arts and Social Sciences,https://doi.org/10.38159/ehass.202561417,https://openalex.org/W2580942528
The impact of performance-based school grants on students’ academic achievement: quasi-experimental evidence from Southern Ethiopia,2025,China Economic Journal,https://doi.org/10.1080/17538963.2025.2604949,https://openalex.org/W2580942528
Chorusing or questioning: Using EQs and KWLs in the science classroom in Anglophone Cameroon,2025,African Journal of Teacher Education and Development,https://doi.org/10.4102/ajoted.v4i1.112,https://openalex.org/W2580942528
"Exploring the professional learning and development needs of public primary school teachers in Lagos State, Nigeria",2025,International Journal of Professional Development Learners and Learning,https://doi.org/10.30935/ijpdll/17080,https://openalex.org/W2580942528
"Assessment Practices of Ghanaian Senior High School Mathematics Teachers: A National Survey of Practices, Self-Rated Skills, and Predictors",2025,European Journal of Mathematics and Science Education,https://doi.org/10.12973/ejmse.6.3.161,https://openalex.org/W2580942528
"Teacher Educator Knowledge, Skills, and Self-Efficacy: Systemic Impacts on Initial Teacher Education Programming",2025,Trends in Higher Education,https://doi.org/10.3390/higheredu4030043,https://openalex.org/W2580942528
Challenges encountered by teachers and pupils in increasing precision and writing consistency of government primary early graders in Tanzania,2025,Educational Dimension,https://doi.org/10.55056/ed.906,https://openalex.org/W2580942528
"Pedagogical and Technical Competence Level, Problems and Competency Needs of Technology and Livelihood Education (TLE) Teachers: Basis for Professional Development Program",2025,Psychology and Education A Multidisciplinary Journal,https://doi.org/10.70838/pemj.410101,https://openalex.org/W2580942528
"Impact of Implementation of Classroom Management Practices on Performance of Learners in English Language in Private Primary Schools, in Katsina-Ala, Benue State, Nigeria",2025,British Journal of Education Learning and Development Psychology,https://doi.org/10.52589/bjeldp-3wp9zzo9,https://openalex.org/W2580942528
"Exploring middle-level school citizenship education teachers’ professional knowledge competence in West Gojjam administrative zone, Ethiopia",2025,Citizenship Social and Economics Education,https://doi.org/10.1177/14788047251334344,https://openalex.org/W2580942528
TransformEd: an innovative model to support professional growth of pre-service teachers,2025,Teaching Education,https://doi.org/10.1080/10476210.2025.2462312,https://openalex.org/W2580942528
Initial teacher education: meanings of quality for Australia and Brazil,2025,Revista Brasileira de Educação,https://doi.org/10.1590/s1413-24782025300073,https://openalex.org/W2580942528
Formação inicial de professores: significados de qualidade para Austrália e Brasil,2025,Revista Brasileira de Educação,https://doi.org/10.1590/s1413-24782025300072,https://openalex.org/W2580942528
Benchmark Modules: A Better Interim Assessment? Evidence From Statewide Use of Benchmark Modules in Utah,2025,AERA Open,https://doi.org/10.1177/23328584251369828,https://openalex.org/W2153122791
READING PERFORMANCE OF LEARNERS IN NATIONAL READING CAMP AND FACTORS AFFECTING IT,2025,Cognizance Journal of Multidisciplinary Studies,https://doi.org/10.47760/cognizance.2025.v05i08.011,https://openalex.org/W3142663501
"Exploring the influence of professional development, curricular change, and coaching on teachers’ literacy instructional practices and perceptions",2025,Journal of Early Childhood Literacy,https://doi.org/10.1177/14687984251367647,https://openalex.org/W3142663501
Redemption of Specific Categories of WIC Food Benefits and Risk of Program Discontinuation,2025,JAMA Network Open,https://doi.org/10.1001/jamanetworkopen.2025.46544,https://openalex.org/W3213634859
Consumption of the Food Groups with the Revised Benefits in the New WIC Food Package: A Scoping Review,2025,Nutrients,https://doi.org/10.3390/nu17050856,https://openalex.org/W3213634859
Timing of SNAP disbursement and crime incidence in the United States,2025,Contemporary Economic Policy,https://doi.org/10.1111/coep.70005,https://openalex.org/W2967747679
Can reducing administrative burdens increase benefit amounts? Evidence from <scp>SNAP</scp> simplified reporting,2025,Applied Economic Perspectives and Policy,https://doi.org/10.1002/aepp.13508,https://openalex.org/W3134769759
Nutrition incentives in action: Exploring nutrition security and community connection in a longitudinal study,2025,Journal of Agriculture Food Systems and Community Development,https://doi.org/10.5304/jafscd.2025.143.002,https://openalex.org/W3134769759
Missing SDG gender indicators,2025,World Development,https://doi.org/10.1016/j.worlddev.2025.106957,https://openalex.org/W4327973207
Better tracking SDG progress with fewer resources? A call for more innovative data uses,2025,World Development Perspectives,https://doi.org/10.1016/j.wdp.2025.100721,https://openalex.org/W4327973207
BRAZIL DATA COMMONS: Plataforma Unificada para Análise de Dados Públicos de Diferentes Repositórios,2025,,https://doi.org/10.5753/sbsc.2025.8634,https://openalex.org/W4327973207
Data use in social science and medical articles around the world,2025,PNAS Nexus,https://doi.org/10.1093/pnasnexus/pgaf196,https://openalex.org/W4327973207
"Maternal healthcare utilisation, women empowerment, and delivery care: geographical variations in India",2025,Research in Health Services & Regions,https://doi.org/10.1007/s43999-025-00063-3,https://openalex.org/W4327973207
The disparities and development trajectories of nations in achieving the sustainable development goals,2025,Nature Communications,https://doi.org/10.1038/s41467-025-56076-6,https://openalex.org/W4327973207
Reusing data for development: Lessons learned from an agricultural observatory in Madagascar,2025,Journal of Rural Studies,https://doi.org/10.1016/j.jrurstud.2025.103585,https://openalex.org/W4327973207
Beyond the records: Data quality and COVID-19 vaccination progress in low- and middle-income countries,2025,Journal of Development Economics,https://doi.org/10.1016/j.jdeveco.2024.103449,https://openalex.org/W4327973207
Revisiting the assumptions of the data revolution as an accelerator of the sustainable development goals,2025,Data & Policy,https://doi.org/10.1017/dap.2025.10015,https://openalex.org/W4327973207
Containment or bad detection? Poor state capacity implications on reported Covid-19 cases,2025,Journal of Institutional Economics,https://doi.org/10.1017/s1744137424000195,https://openalex.org/W4327973207
Mitigating Food Insecurity-Related Stigma,2025,Delaware Journal of Public Health,https://doi.org/10.32481/djph.2025.11.04,https://openalex.org/W4220744330
"The association between food benefit online ordering and redemptions: evidence from the Special Supplemental Nutrition Program for Women, Infants, and Children",2025,Public Health Nutrition,https://doi.org/10.1017/s1368980025100931,https://openalex.org/W4220744330
Attainable pedagogical practices for contexts of poverty: a South African case study,2024,Pedagogy Culture and Society,https://doi.org/10.1080/14681366.2024.2437360,https://openalex.org/W2766051028
Recovery from an Early-Life Shock through Improved Access to Schools,2024,Journal of Human Capital,https://doi.org/10.1086/734086,https://openalex.org/W2766051028
What Drives Teachers to Change Their Instruction? A Mixed-Methods Study from Zambia,2024,Comparative Education Review,https://doi.org/10.1086/733519,https://openalex.org/W2766051028
"Out of sight, out of mind? The gap between students’ test performance and teachers’ estimations in India and Bangladesh",2024,Economics of Education Review,https://doi.org/10.1016/j.econedurev.2024.102575,https://openalex.org/W2766051028
Untapped human capital in Africa,2024,International Journal of Educational Development,https://doi.org/10.1016/j.ijedudev.2024.103093,https://openalex.org/W2766051028
Preprimary education and early childhood development: Evidence from government schools in rural Kenya,2024,Journal of Development Economics,https://doi.org/10.1016/j.jdeveco.2024.103337,https://openalex.org/W2766051028
Teachers’ Attendance and Pupils’ Human Capital Formation: Evidence from Rural Schools in Nigeria,2024,Africa Education Review,https://doi.org/10.1080/18146627.2024.2421010,https://openalex.org/W2766051028
"Development, Education and Learning in Sri Lanka",2024,UCL Press eBooks,https://doi.org/10.2307/jj.6914758,https://openalex.org/W2766051028
The Impacts of School Microenvironment on Left-behind Children’s Academic Performance,2024,经济学报.,https://doi.org/10.26599/cje.2024.9300215,https://openalex.org/W2766051028
Peer effects of local students on the human capital of migrant children in middle schools: Evidence from China,2024,Journal of Asian Economics,https://doi.org/10.1016/j.asieco.2024.101764,https://openalex.org/W2766051028
RETRACTED ARTICLE: Surprisingly low results from studies on cognitive ability in developing countries: are the results credible?,2024,Discover Education,https://doi.org/10.1007/s44217-024-00135-5,https://openalex.org/W2766051028
Incentivising Textbooks for Self-Study: Experimental Evidence from the Democratic Republic of the Congo,2024,The Economic Journal,https://doi.org/10.1093/ej/ueae039,https://openalex.org/W2766051028
Saharaline: A Collective Social Support Intervention for Teachers in Low-Income Indian Schools,2024,,https://doi.org/10.1145/3613904.3642617,https://openalex.org/W2766051028
The Intelligence of Nations. National IQs and Correlates,2024,Qeios,https://doi.org/10.32388/6ibskw,https://openalex.org/W2766051028
Updates on private returns to education in Uganda: evidence from universal primary education policy,2024,Education Economics,https://doi.org/10.1080/09645292.2024.2345708,https://openalex.org/W2766051028
"Conceptions of Assessment: Perceptions of Physical and Health Education Teachers in Selangor, Malaysia",2024,Pertanika journal of social science & humanities,https://doi.org/10.47836/pjssh.32.1.09,https://openalex.org/W2766051028
Highlighting research on the challenges and implications of some selected educational issues,2024,Bahir Dar Journal of Education,https://doi.org/10.4314/bdje.v24i1.1,https://openalex.org/W2766051028
Resisting change: Explaining education policy reforms in Ghana,2024,Politics &amp Policy,https://doi.org/10.1111/polp.12588,https://openalex.org/W2766051028
Explaining Variation in Treatment Effects: An Impact Evaluation and Mixed-Methods Study of Variation in Early Grade Reading Program Effects,2024,Comparative Education Review,https://doi.org/10.1086/728393,https://openalex.org/W2766051028
Secondary School Access Raises Primary School Achievement,2024,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.4991891,https://openalex.org/W2766051028
Access or Quality? New Challenges in Sub-Saharan Africa,2024,International and development education,https://doi.org/10.1007/978-3-031-70266-2_4,https://openalex.org/W2766051028
Michael R. Kremer (1964–),2024,,https://doi.org/10.1007/978-3-031-52053-2_44,https://openalex.org/W2766051028
Cultural and micropolitical interactions of teacher relations,2024,South African Journal of Education,https://doi.org/10.15700/saje.v44ns1a2438,https://openalex.org/W2580942528
The unintended consequences of merit-based teacher selection: Evidence from a large-scale reform in Colombia,2024,Journal of Public Economics,https://doi.org/10.1016/j.jpubeco.2024.105238,https://openalex.org/W2580942528
Reviewing the macroeconomic relevance of education system in Ethiopia: the role of skill gap,2024,Cogent Education,https://doi.org/10.1080/2331186x.2024.2365584,https://openalex.org/W2580942528
Mission Driven Bureaucrats,2024,,https://doi.org/10.1093/oso/9780197641194.001.0001,https://openalex.org/W2580942528
Systems All the Way Down,2024,,https://doi.org/10.1093/oso/9780197641194.003.0005,https://openalex.org/W2580942528
Technical Appendix,2024,,https://doi.org/10.1093/oso/9780197641194.005.0001,https://openalex.org/W2580942528
Attracting (and Keeping) the Mission-Motivated,2024,,https://doi.org/10.1093/oso/9780197641194.003.0004,https://openalex.org/W2580942528
Rethinking Accountability for Mission Driven Bureaucrats,2024,,https://doi.org/10.1093/oso/9780197641194.003.0007,https://openalex.org/W2580942528
Preface,2024,,https://doi.org/10.1093/oso/9780197641194.002.0006,https://openalex.org/W2580942528
Dedication,2024,,https://doi.org/10.1093/oso/9780197641194.002.0004,https://openalex.org/W2580942528
"If You Build It, They Will Come",2024,,https://doi.org/10.1093/oso/9780197641194.003.0009,https://openalex.org/W2580942528
Copyright Page,2024,,https://doi.org/10.1093/oso/9780197641194.002.0003,https://openalex.org/W2580942528
Strategies to Improve Performance,2024,,https://doi.org/10.1093/oso/9780197641194.003.0008,https://openalex.org/W2580942528
Advance Praise for Mission Driven Bureaucrats,2024,,https://doi.org/10.1093/oso/9780197641194.002.0008,https://openalex.org/W2580942528
Pathways from Managing for Empowerment and Managing for Compliance to Results,2024,,https://doi.org/10.1093/oso/9780197641194.003.0006,https://openalex.org/W2580942528
"The Mission of Bureaucrats, and of This Book",2024,,https://doi.org/10.1093/oso/9780197641194.003.0001,https://openalex.org/W2580942528
How You’re Managed Changes What You Want to Do,2024,,https://doi.org/10.1093/oso/9780197641194.003.0003,https://openalex.org/W2580942528
Notes,2024,,https://doi.org/10.1093/oso/9780197641194.002.0010,https://openalex.org/W2580942528
"Empowerment-Oriented Management, Mission Motivation, and Performance",2024,,https://doi.org/10.1093/oso/9780197641194.003.0002,https://openalex.org/W2580942528
Accelerating progress towards eradicating child labour (SDG8.7) with quality education (SDG4): School quality is linked to reduced child cocoa labour in Côte d’Ivoire,2024,Research in Comparative and International Education,https://doi.org/10.1177/17454999241255182,https://openalex.org/W2580942528
"Opportunities for changing teacher norms vary by underlying factors in teachers' selves, situations, standards, and society",2024,Frontiers in Education,https://doi.org/10.3389/feduc.2024.1169269,https://openalex.org/W2580942528
Analysing Mathematics Performance in Tanzanian Primary Schools through the Lens of Candidate Items Response Analysis Reports,2024,,https://doi.org/10.7176/jep/15-5-03,https://openalex.org/W2580942528
Evidence-based teaching: effective teaching practices in primary school classrooms,2024,London Review of Education,https://doi.org/10.14324/lre.22.1.08,https://openalex.org/W2580942528
Active learning with research based on three principles of higher education,2024,Journal of Education and Learning (EduLearn),https://doi.org/10.11591/edulearn.v18i2.20966,https://openalex.org/W2580942528
"Teachers’ Competency in Content Knowledge and Pedagogy in Buhi South District, Philippines",2024,International Education Trend Issues,https://doi.org/10.56442/ieti.v2i1.365,https://openalex.org/W2580942528
School work performance in sub-Saharan Africa: A bivariate multilevel analysis,2024,International Journal of Educational Research,https://doi.org/10.1016/j.ijer.2024.102388,https://openalex.org/W2580942528
The Unintended Consequences of Merit-Based Teacher Selection: Evidence from Large-Scale Reform in Colombia,2024,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.4971345,https://openalex.org/W2580942528
Bildung,2024,,https://doi.org/10.1007/978-3-658-45213-1_10,https://openalex.org/W2580942528
"Advocacy groups, policy subsidies, and policy change: The case of teacher evaluations",2024,Policy Studies Journal,https://doi.org/10.1111/psj.12538,https://openalex.org/W2153122791
Revisiting the Schooling Inputs Debate: Experimental Evidence From an Early Grade Literacy Intervention in Lao <scp>PDR</scp>,2024,Review of Development Economics,https://doi.org/10.1111/rode.13169,https://openalex.org/W3142663501
How to improve education outcomes most efficiently? A review of the evidence using a unified metric,2024,Journal of Development Economics,https://doi.org/10.1016/j.jdeveco.2024.103382,https://openalex.org/W3142663501
Pumps: A Possible Tool to Promote More Equitable LactationOutcomes,2024,The Yale Journal of Biology and Medicine,https://doi.org/10.59249/mwyw7163,https://openalex.org/W2903171032
"Cross-sectional associations of Special Supplemental Nutrition Program for Women, Infants, and Children benefit redemption and diet among children ages 1–4 years in California",2024,American Journal of Clinical Nutrition,https://doi.org/10.1016/j.ajcnut.2024.06.002,https://openalex.org/W3213634859
Mixed methods evaluation of the COVID-19 changes to the WIC cash-value benefit for fruits and vegetables,2024,Frontiers in Public Health,https://doi.org/10.3389/fpubh.2024.1371697,https://openalex.org/W3213634859
Promoting Healthier Purchases: Ultraprocessed Food Taxes and Minimally Processed Foods Subsidies for the Low Income,2024,American Journal of Preventive Medicine,https://doi.org/10.1016/j.amepre.2024.02.019,https://openalex.org/W3213634859
The effects of SNAP emergency allotments on state-level SNAP benefits and enrollment during the COVID-19 pandemic,2024,Health Affairs Scholar,https://doi.org/10.1093/haschl/qxae109,https://openalex.org/W2967747679
Food Security to Medication Adherence—Connecting Needs,2024,JAMA Network Open,https://doi.org/10.1001/jamanetworkopen.2023.56570,https://openalex.org/W2967747679
Barriers and Enablers for Equitable Healthy Food Access in Baltimore Carryout Restaurants: A Qualitative Study in Healthy Food Priority Areas,2024,Nutrients,https://doi.org/10.3390/nu16173028,https://openalex.org/W3134769759
A forensic statistical analysis of fraud in the federal food stamp program,2024,The Annals of Applied Statistics,https://doi.org/10.1214/24-aoas1891,https://openalex.org/W3134769759
Supplemental Nutrition Assistance Program and depressive symptoms among adults with low family income in the U.S.: The National Health and Nutrition Examination Survey 2011–2018,2024,Journal of Affective Disorders,https://doi.org/10.1016/j.jad.2024.07.093,https://openalex.org/W3134769759
The silent barrier: exploring data availability in Small Island Developing States,2024,Revista Panamericana de Salud Pública,https://doi.org/10.26633/rpsp.2024.80,https://openalex.org/W4327973207
Methodological approaches on synergies and trade-offs within the 2030 Agenda,2024,iScience,https://doi.org/10.1016/j.isci.2024.111100,https://openalex.org/W4327973207
Rethinking official statistics: A sociological perspective,2024,Statistical Journal of the IAOS,https://doi.org/10.3233/sji-240034,https://openalex.org/W4327973207
Is there a quantitative relationship between democracy and official statistics?,2024,Statistical Journal of the IAOS,https://doi.org/10.3233/sji-240012,https://openalex.org/W4327973207
Does global warming worsen poverty and inequality? An updated review,2024,Journal of Economic Surveys,https://doi.org/10.1111/joes.12636,https://openalex.org/W4327973207
Missing Evidence: Tracking Academic Data Use around the World,2024,Research Square,https://doi.org/10.21203/rs.3.rs-4219045/v1,https://openalex.org/W4327973207
Country statistical capacity: A recent assessment tool and further reflections on the way forward,2024,Statistical Journal of the IAOS,https://doi.org/10.3233/sji-230093,https://openalex.org/W4327973207
Does Global Warming Worsen Poverty and Inequality? An Updated Review,2024,"Washington, DC: World Bank eBooks",https://doi.org/10.1596/1813-9450-10697,https://openalex.org/W4327973207
Stigma in marketing and consumer research: A literature review and research agenda,2024,Journal of Consumer Behaviour,https://doi.org/10.1002/cb.2321,https://openalex.org/W4220744330
State expansion of Supplemental Nutrition Assistance Program eligibility and rates of firearm-involved deaths in the United States,2024,Injury Prevention,https://doi.org/10.1136/ip-2023-045035,https://openalex.org/W3122015554
Submitted and Denied: Understanding variation in case status across Supplemental Nutrition assistance program (SNAP) applications,2024,Food Policy,https://doi.org/10.1016/j.foodpol.2023.102588,https://openalex.org/W3122015554
Country Statistical Capacity: A Recent Assessment Tool and Further Reflections on the Way Forward,2024,SSRN Electronic Journal,https://doi.org/10.2139/ssrn.4786062,https://openalex.org/W4391178417
"A promising approach to scaling up professional development: intelligent, interactive, virtual professional development with just-in-time feedback",2023,Journal of Mathematics Teacher Education,https://doi.org/10.1007/s10857-023-09615-1,https://openalex.org/W2766051028
Building Trust for Enhanced Job Satisfaction: Insights from High School Teachers in Pekanbaru City,2023,AL-ISHLAH Jurnal Pendidikan,https://doi.org/10.35445/alishlah.v15i4.4622,https://openalex.org/W2580942528
Review Of The Use Of Standardized Achievement Tests For Accountability Purposes In Education: The Colombia And Chile Cases,2023,,https://doi.org/10.54014/q7ay-bb91,https://openalex.org/W2153122791
Calibrating violence risk assessments for uncertainty,2023,General Psychiatry,https://doi.org/10.1136/gpsych-2022-100921,https://openalex.org/W2153122791
The cultural correlates of learning poverty: The roles of long-term orientation and power distance,2023,International Journal of Intercultural Relations,https://doi.org/10.1016/j.ijintrel.2023.101816,https://openalex.org/W3142663501
Improving Learning in Low- and Lower-Middle-Income Countries,2023,Journal of Benefit-Cost Analysis,https://doi.org/10.1017/bca.2023.26,https://openalex.org/W3142663501
Supporting breastfeeding equity: A cross-sectional study of US birthing facility administrators,2023,Preventive Medicine Reports,https://doi.org/10.1016/j.pmedr.2023.102259,https://openalex.org/W2903171032
"Familial sources of encouragement and breast-feeding practices among women participating in the US Special Supplemental Nutrition Programme for Women, Infants and Children",2023,Public Health Nutrition,https://doi.org/10.1017/s1368980023000666,https://openalex.org/W2903171032
Providing Low-Income Women With a Manual Pump: A Pilot Study,2023,Hospital Pediatrics,https://doi.org/10.1542/hpeds.2021-006380,https://openalex.org/W2903171032
"Breastfeeding Initiation Trends by Special Supplemental Nutrition Program for Women, Infants, and Children Participation and Race/Ethnicity Among Medicaid Births",2023,Journal of Nutrition Education and Behavior,https://doi.org/10.1016/j.jneb.2022.09.006,https://openalex.org/W2903171032
A Quasi-Experimental Assessment of the Effect of the 2009 WIC Food Package Revisions on Breastfeeding Outcomes,2023,Nutrients,https://doi.org/10.3390/nu15020414,https://openalex.org/W2903171032
